City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
45,Vila Franca Do Campo,PT,73.81,few clouds,37.7167,-25.4333,Pestana Bahia Praia
46,Golden,US,76.21,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
47,Tura,IN,74.19,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
49,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.0833,Scoop Guest House
50,Tual,ID,78.19,broken clouds,-5.6667,132.75,Grand Vilia Hotel
52,Nikolskoye,RU,61.81,overcast clouds,59.7035,30.7861,Tourist House - Sablino
53,Arlit,NE,86.63,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
54,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Swift Current,CA,79.52,clear sky,50.2834,-107.8014,"Motel 6 Swift Current, SK"
56,Mizdah,LY,85.05,few clouds,31.4451,12.9801,محمدالمبروك الاريقط
57,Bambous Virieux,MU,69.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
60,Gizo,SB,80.91,light rain,-8.103,156.8419,Imagination Island
61,Betare Oya,CM,66.63,moderate rain,5.6,14.0833,Auberge Tembina Betaré Oya
62,Butaritari,KI,81.93,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
65,Numan,NG,75.85,light rain,9.4667,12.0333,Zangun Motel
67,Ayagoz,KZ,72.54,clear sky,47.9714,80.4392,ХАН
68,Faanui,PF,79.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Port Alfred,ZA,68.23,clear sky,-33.5906,26.891,The Halyards Hotel
72,Olden,NO,61.54,scattered clouds,61.8364,6.8064,Nesset Fjordcamping Olden
74,Vanimo,PG,76.21,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
75,Kenai,US,68.02,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
76,Guerrero Negro,MX,79.21,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
77,Ishigaki,JP,85.03,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
